Romelu Lukaku,Belgium,Manchester United,2018/2019,Forward
Lyanco,Brazil,Southampton,2021/2022,Defender
Brooklyn Lyons-Foster,England,Tottenham Hotspur U21,2021/2022,Defender
Brooklyn Lyons-Foster,England,Tottenham Hotspur,2019/2020,Defender
Isaac Mabaya,England,Liverpool,2021/2022,Midfielder
Alexis Mac Allister,Argentina,Brighton and Hove Albion,2021/2022,Midfielder
Alexis Mac Allister,Argentina,Brighton and Hove Albion,2020/2021,Midfielder
Alexis Mac Allister,Argentina,Brighton and Hove Albion,2019/2020,Midfielder
Alexis Mac Allister,Argentina,Brighton and Hove Albion,2018/2019,Midfielder
James Maddison,England,Leicester City,2021/2022,Midfielder
James Maddison,England,Leicester City,2020/2021,Midfielder
James Maddison,England,Leicester City,2019/2020,Midfielder
James Maddison,England,Leicester City,2018/2019,Midfielder
Paris Maghoma,England,Brentford,2021/2022,Midfielder
Paris Maghoma,England,Tottenham Hotspur U21,2018/2019,Midfielder
Harry Maguire,England,Manchester United,2021/2022,Defender
Harry Maguire,England,Manchester United,2020/2021,Defender
Harry Maguire,England,Leicester City,2019/2020,Defender
Harry Maguire,England,Leicester City,2018/2019,Defender
Riyad Mahrez,Algeria,Manchester City,2021/2022,Forward
Riyad Mahrez,Algeria,Manchester City,2020/2021,Forward
Riyad Mahrez,Algeria,Manchester City,2019/2020,Forward
Riyad Mahrez,Algeria,Manchester City,2018/2019,Forward
Ainsley Maitland-Niles,England,Arsenal,2021/2022,Midfielder
Ainsley Maitland-Niles,England,Arsenal,2020/2021,Midfielder
Ainsley Maitland-Niles,England,Arsenal,2019/2020,Midfielder
Ainsley Maitland-Niles,England,Arsenal,2018/2019,Midfielder
Malachi Boateng,England,Crystal Palace,2021/2022,Midfielder
Anthony Mancini,France,Burnley,2021/2022,Midfielder
Anthony Mancini,France,Burnley,2020/2021,Midfielder
Sadio Man,Senegal,Liverpool,2021/2022,Forward
Sadio Man,Senegal,Liverpool,2020/2021,Forward
Sadio Man,Senegal,Liverpool,2019/2020,Forward
Sadio Man,Senegal,Liverpool,2018/2019,Forward
Javier Manquillo,Spain,Newcastle United,2021/2022,Defender
Javier Manquillo,Spain,Newcastle United,2020/2021,Defender
Javier Manquillo,Spain,Newcastle United,2019/2020,Defender
Javier Manquillo,Spain,Newcastle United,2018/2019,Defender
Maral,Brazil,Wolverhampton Wanderers,2021/2022,Defender
Maral,Brazil,Wolverhampton Wanderers,2020/2021,Defender
Marcelo Pitaluga,Brazil,Liverpool,2021/2022,Goalkeeper
Solly March,England,Brighton and Hove Albion,2021/2022,Midfielder
Solly March,England,Brighton and Hove Albion,2020/2021,Midfielder
Solly March,England,Brighton and Hove Albion,2019/2020,Midfielder
Solly March,England,Brighton and Hove Albion,2018/2019,Midfielder
Pablo Mar,Spain,Arsenal,2021/2022,Defender
Pablo Mar,Spain,Arsenal,2020/2021,Defender
Pablo Mar,Spain,Arsenal  (Loan) ,2019/2020,Defender
Dilan Markanday,England,Tottenham Hotspur,2021/2022,Forward
Dilan Markanday,England,Tottenham Hotspur U21,2020/2021,Forward
Filip Marschall,England,Aston Villa,2021/2022,Goalkeeper
Anthony Martial,France,Manchester United,2021/2022,Forward
Anthony Martial,France,Manchester United,2020/2021,Forward
Anthony Martial,France,Manchester United,2019/2020,Forward
Anthony Martial,France,Manchester United,2018/2019,Forward
Josh Martin,England,Norwich City,2021/2022,Midfielder
Josh Martin,England,Norwich City,2019/2020,Midfielder
Emiliano Martnez,Argentina,Aston Villa,2021/2022,Goalkeeper
Emiliano Martnez,Argentina,Arsenal,2020/2021,Goalkeeper
Emiliano Martnez,Argentina,Arsenal,2019/2020,Goalkeeper
Emiliano Martnez,Argentina,Arsenal,2018/2019,Goalkeeper
Adam Masina,Morocco,Watford,2021/2022,Defender
Adam Masina,Morocco,Watford,2019/2020,Defender
Adam Masina,Morocco,Watford,2018/2019,Defender
Arthur Masuaku,DR Congo,West Ham United,2021/2022,Defender
Arthur Masuaku,DR Congo,West Ham United,2020/2021,Defender
Arthur Masuaku,DR Congo,West Ham United,2019/2020,Defender
Arthur Masuaku,DR Congo,West Ham United,2018/2019,Defender
Tawanda Maswanhise,England,Leicester City,2021/2022,Midfielder
Tawanda Maswanhise,England,Leicester City,2020/2021,Midfielder
Juan Mata,Spain,Manchester United,2021/2022,Midfielder
Juan Mata,Spain,Manchester United,2020/2021,Midfielder
Juan Mata,Spain,Manchester United,2019/2020,Midfielder
Juan Mata,Spain,Manchester United,2018/2019,Midfielder
Jean-Philippe Mateta,France,Crystal Palace  (Loan) ,2021/2022,Forward
Jean-Philippe Mateta,France,Crystal Palace  (Loan) ,2020/2021,Forward
Nemanja Matic,Serbia,Manchester United,2021/2022,Midfielder
Nemanja Matic,Serbia,Manchester United,2020/2021,Midfielder
Nemanja Matic,Serbia,Manchester United,2019/2020,Midfielder
Nemanja Matic,Serbia,Manchester United,2018/2019,Midfielder
Joel Matip,Cameroon,Liverpool,2021/2022,Defender
Joel Matip,Cameroon,Liverpool,2020/2021,Defender
Joel Matip,Cameroon,Liverpool,2019/2020,Defender
Joel Matip,Cameroon,Liverpool,2018/2019,Defender
Matthew Craig,Scotland,Tottenham Hotspur,2021/2022,Midfielder
Remi Matthews,England,Crystal Palace,2021/2022,Goalkeeper
Neal Maupay,France,Brighton and Hove Albion,2021/2022,Forward
Neal Maupay,France,Brighton and Hove Albion,2020/2021,Forward
Neal Maupay,France,Brighton and Hove Albion,2019/2020,Forward
Luke Mbete,England,Manchester City,2021/2022,Defender
Luke Mbete,England,Manchester City,2020/2021,Defender
Bryan Mbeumo,France,Brentford,2021/2022,Midfielder
Xavier Mbuyamba,Netherlands,Chelsea,2021/2022,Defender
Reece McAlear,Scotland,Norwich City,2021/2022,Midfielder
James McArthur,Scotland,Crystal Palace,2021/2022,Midfielder
James McArthur,Scotland,Crystal Palace,2020/2021,Midfielder
James McArthur,Scotland,Crystal Palace,2019/2020,Midfielder
James McArthur,Scotland,Crystal Palace,2018/2019,Midfielder
James McAtee,England,Manchester City,2021/2022,Midfielder
Kasey McAteer,England,Leicester City,2021/2022,Midfielder
Alfie McCalmont,Northern Ireland,Leeds United,2021/2022,Midfielder
Alfie McCalmont,Northern Ireland,Leeds United,2020/2021,Midfielder
Liam McCarron,Scotland,Leeds United,2021/2022,Midfielder
Liam McCarron,Scotland,Leeds United,2020/2021,Midfielder
James McCarthy,Ireland,Crystal Palace,2021/2022,Midfielder
James McCarthy,Ireland,Crystal Palace,2020/2021,Midfielder
James McCarthy,Ireland,Everton,2019/2020,Midfielder
James McCarthy,Ireland,Everton,2018/2019,Midfielder
Jon McCracken,Scotland,Norwich City,2021/2022,Goalkeeper
Thomas McGill,England,Brighton & Hove Albion,2021/2022,Goalkeeper
Thomas McGill,England,Brighton & Hove Albion,2020/2021,Goalkeeper
John McGinn,Scotland,Aston Villa,2021/2022,Midfielder
John McGinn,Scotland,Aston Villa,2020/2021,Midfielder
John McGinn,Scotland,Aston Villa,2019/2020,Midfielder
Joseph McGlynn,Scotland,Burnley U18,2021/2022,Forward
Michael McGovern,Northern Ireland,Norwich City,2021/2022,Goalkeeper
Michael McGovern,Northern Ireland,Norwich City,2019/2020,Goalkeeper
Stuart McKinstry,Scotland,Leeds United,2021/2022,Midfielder
Kenny McLean,Scotland,Norwich City,2021/2022,Midfielder
Kenny McLean,Scotland,Norwich City,2019/2020,Midfielder
Dwight McNeil,England,Burnley,2021/2022,Midfielder
Dwight McNeil,England,Burnley,2020/2021,Midfielder
Dwight McNeil,England,Burnley,2019/2020,Midfielder
Dwight McNeil,England,Burnley,2018/2019,Midfielder
Scott McTominay,Scotland,Manchester United,2021/2022,Midfielder
Scott McTominay,Scotland,Manchester United,2020/2021,Midfielder
Scott McTominay,Scotland,Manchester United,2019/2020,Midfielder
Scott McTominay,Scotland,Manchester United,2018/2019,Midfielder
Ben Mee,England,Burnley,2021/2022,Defender
Ben Mee,England,Burnley,2020/2021,Defender
Ben Mee,England,Burnley,2019/2020,Defender
Ben Mee,England,Burnley,2018/2019,Defender
Hannibal Mejbri,Tunisia,Manchester United,2021/2022,Midfielder
Hannibal Mejbri,Tunisia,Manchester United,2020/2021,Midfielder
douard Mendy,Senegal,Chelsea,2021/2022,Goalkeeper
douard Mendy,Senegal,Chelsea,2020/2021,Goalkeeper
Teden Mengi,England,Manchester United,2021/2022,Defender
Teden Mengi,England,Manchester United,2020/2021,Defender
Teden Mengi,England,Manchester United,2019/2020,Defender
Illan Meslier,France,Leeds United,2021/2022,Goalkeeper
Illan Meslier,France,Leeds United,2020/2021,Goalkeeper
Matt Miazga,United States,Chelsea,2021/2022,Defender
Matt Miazga,United States,Chelsea,2019/2020,Defender
Matt Miazga,United States,Chelsea,2018/2019,Defender
Michael Craig,Scotland,Tottenham Hotspur,2021/2022,Midfielder
Luka Milivojevic,Serbia,Crystal Palace,2021/2022,Midfielder
Luka Milivojevic,Serbia,Crystal Palace,2020/2021,Midfielder
Luka Milivojevic,Serbia,Crystal Palace,2019/2020,Midfielder
Luka Milivojevic,Serbia,Crystal Palace,2018/2019,Midfielder
James Milner,England,Liverpool,2021/2022,Midfielder
James Milner,England,Liverpool,2020/2021,Midfielder
James Milner,England,Liverpool,2019/2020,Midfielder
James Milner,England,Liverpool,2018/2019,Midfielder
Yerry Mina,Colombia,Everton,2021/2022,Defender
Yerry Mina,Colombia,Everton,2020/2021,Defender
Yerry Mina,Colombia,Everton,2019/2020,Defender
Yerry Mina,Colombia,Everton,2018/2019,Defender
Takumi Minamino,Japan,Liverpool,2021/2022,Forward
Takumi Minamino,Japan,Liverpool,2020/2021,Forward
Takumi Minamino,Japan,Liverpool,2019/2020,Forward
Tyrone Mings,England,Aston Villa,2021/2022,Defender
Tyrone Mings,England,Aston Villa,2020/2021,Defender
Tyrone Mings,England,AFC Bournemouth,2019/2020,Defender
Tyrone Mings,England,AFC Bournemouth,2018/2019,Defender
Tyrick Mitchell,England,Crystal Palace,2021/2022,Defender
Tyrick Mitchell,England,Crystal Palace,2020/2021,Defender
Tyrick Mitchell,England,Crystal Palace,2019/2020,Defender
Kaoru Mitoma,Japan,Brighton and Hove Albion,2021/2022,Forward
Jan Mlakar,Slovenia,Brighton and Hove Albion,2021/2022,Forward
Jan Mlakar,Slovenia,Brighton and Hove Albion,2019/2020,Forward
Jan Mlakar,Slovenia,Brighton and Hove Albion,2018/2019,Forward
Jakub Moder,Poland,Brighton and Hove Albion,2021/2022,Midfielder
Jakub Moder,Poland,Brighton and Hove Albion,2020/2021,Midfielder
Mohamed Elneny,Egypt,Arsenal,2021/2022,Midfielder
Mohamed Elneny,Egypt,Arsenal,2020/2021,Midfielder
Mohamed Elneny,Egypt,Arsenal,2019/2020,Midfielder
Mohamed Elneny,Egypt,Arsenal,2018/2019,Midfielder
Mohamed Salah,Egypt,Liverpool,2021/2022,Forward
Mohamed Salah,Egypt,Liverpool,2020/2021,Forward
Mohamed Salah,Egypt,Liverpool,2019/2020,Forward
Mohamed Salah,Egypt,Liverpool,2018/2019,Forward
Jayson Molumby,Ireland,Brighton and Hove Albion,2021/2022,Midfielder
Jayson Molumby,Ireland,Brighton and Hove Albion,2020/2021,Midfielder
Jayson Molumby,Ireland,Brighton & Hove Albion,2019/2020,Midfielder
Jayson Molumby,Ireland,Brighton & Hove Albion,2018/2019,Midfielder
Jacob Montes,United States,Crystal Palace,2021/2022,Midfielder
Kris Moore,England,Leeds United,2021/2022,Defender
Andrew Moran,Ireland,Brighton & Hove Albion,2021/2022,Midfielder
Pablo Moreno,Spain,Manchester City,2021/2022,Forward
Pablo Moreno,Spain,Manchester City,2020/2021,Forward
Wes Morgan,Jamaica,Leicester City,2021/2022,Defender
Wes Morgan,Jamaica,Leicester City,2020/2021,Defender
Wes Morgan,Jamaica,Leicester City,2019/2020,Defender
Wes Morgan,Jamaica,Leicester City,2018/2019,Defender
James Morris,England,Watford,2021/2022,Defender
Tyler Morton,England,Liverpool,2021/2022,Midfielder
Victor Moses,Nigeria,Chelsea,2021/2022,Midfielder
Victor Moses,Nigeria,Chelsea,2020/2021,Midfielder
Victor Moses,Nigeria,Chelsea,2019/2020,Midfielder
Victor Moses,Nigeria,Chelsea,2018/2019,Midfielder
Yerson Mosquera,Colombia,Wolverhampton Wanderers,2021/2022,Defender
Louie Moulden,England,Wolverhampton Wanderers U21,2021/2022,Goalkeeper
Mason Mount,England,Chelsea,2021/2022,Midfielder
Mason Mount,England,Chelsea,2020/2021,Midfielder
Mason Mount,England,Chelsea,2019/2020,Midfielder
Bali Mumba,England,Norwich City,2021/2022,Defender
Joel Mumbongo,Sweden,Burnley,2021/2022,Forward
Joel Mumbongo,Sweden,Burnley,2020/2021,Forward
Joel Mumbongo,Sweden,Burnley,2019/2020,Forward
Romaine Mundle,England,Tottenham Hotspur,2021/2022,Midfielder
Arijanet Muric,Kosovo,Manchester City,2021/2022,Goalkeeper
Arijanet Muric,Kosovo,Manchester City,2020/2021,Goalkeeper
Arijanet Muric,Kosovo,Manchester City,2019/2020,Goalkeeper
Arijanet Muric,Kosovo,Manchester City,2018/2019,Goalkeeper
Jacob Murphy,England,Newcastle United,2021/2022,Midfielder
Jacob Murphy,England,Newcastle United,2020/2021,Midfielder
Jacob Murphy,England,Newcastle United,2019/2020,Midfielder
Jacob Murphy,England,Newcastle United,2018/2019,Midfielder
Glenn Murray,England,Brighton and Hove Albion,2021/2022,Forward
Glenn Murray,England,Brighton and Hove Albion,2020/2021,Forward
Glenn Murray,England,Brighton and Hove Albion,2019/2020,Forward
Glenn Murray,England,Brighton and Hove Albion,2018/2019,Forward
Charly Musonda,Belgium,Chelsea,2021/2022,Midfielder
Charly Musonda,Belgium,Chelsea,2018/2019,Midfielder
Yoshinori Muto,Japan,Newcastle United,2021/2022,Forward
Yoshinori Muto,Japan,Newcastle United,2020/2021,Forward
Yoshinori Muto,Japan,Newcastle United,2019/2020,Forward
Yoshinori Muto,Japan,Newcastle United,2018/2019,Forward
Enock Mwepu,Zambia,Brighton and Hove Albion,2021/2022,Midfielder
Vitalii Mykolenko,Ukraine,Everton,2021/2022,Defender
Daniel N'Lundulu,England,Southampton,2021/2022,Forward
Daniel N'Lundulu,England,Southampton,2020/2021,Forward
Daniel N'Lundulu,England,Southampton,2019/2020,Forward
Marvelous Nakamba,Zimbabwe,Aston Villa,2021/2022,Midfielder
Marvelous Nakamba,Zimbabwe,Aston Villa,2020/2021,Midfielder
Marvelous Nakamba,Zimbabwe,Aston Villa,2019/2020,Midfielder
Richard Nartey,England,Burnley,2021/2022,Defender
Richard Nartey,England,Burnley,2020/2021,Defender
Marc Navarro,Spain,Watford,2021/2022,Defender
Marc Navarro,Spain,Watford,2019/2020,Defender
Marc Navarro,Spain,Watford,2018/2019,Defender
Wilfred Ndidi,Nigeria,Leicester City,2021/2022,Midfielder
Wilfred Ndidi,Nigeria,Leicester City,2020/2021,Midfielder
Wilfred Ndidi,Nigeria,Leicester City,2019/2020,Midfielder
Wilfred Ndidi,Nigeria,Leicester City,2018/2019,Midfielder
Tanguy Ndombele,France,Tottenham Hotspur,2021/2022,Midfielder
Tanguy Ndombele,France,Tottenham Hotspur,2020/2021,Midfielder
Tanguy Ndombele,France,Tottenham Hotspur,2019/2020,Midfielder
Reiss Nelson,England,Arsenal,2021/2022,Forward
Reiss Nelson,England,Arsenal,2020/2021,Forward
Reiss Nelson,England,Arsenal,2019/2020,Forward
Reiss Nelson,England,Arsenal,2018/2019,Forward
Nlson Semedo,Portugal,Wolverhampton Wanderers,2021/2022,Defender
Nlson Semedo,Portugal,Wolverhampton Wanderers,2020/2021,Defender
Jeremy Ngakia,England,Watford,2021/2022,Defender
Jeremy Ngakia,England,West Ham United,2019/2020,Defender
Sal guez,Spain,Chelsea  (Loan) ,2021/2022,Midfielder
Eddie Nketiah,England,Arsenal,2021/2022,Forward
Eddie Nketiah,England,Arsenal,2020/2021,Forward
Eddie Nketiah,England,Arsenal,2019/2020,Forward
Eddie Nketiah,England,Arsenal,2018/2019,Forward
Nicolas Nkoulou,Cameroon,Watford,2021/2022,Defender
Niels Nkounkou,France,Everton,2021/2022,Defender
Niels Nkounkou,France,Everton,2020/2021,Defender
Mark Noble,England,West Ham United,2021/2022,Midfielder
Mark Noble,England,West Ham United,2020/2021,Midfielder
Mark Noble,England,West Ham United,2019/2020,Midfielder
Mark Noble,England,West Ham United,2018/2019,Midfielder
Mathias Normann,Norway,Norwich City  (Loan) ,2021/2022,Midfielder
Mathias Normann,Norway,Brighton and Hove Albion,2018/2019,Midfielder
Will Norris,England,Burnley,2021/2022,Goalkeeper
Will Norris,England,Burnley,2020/2021,Goalkeeper
Will Norris,England,Wolverhampton Wanderers,2019/2020,Goalkeeper
Will Norris,England,Wolverhampton Wanderers,2018/2019,Goalkeeper
Nuno Tavares,Portugal,Arsenal,2021/2022,Defender
rjan Nyland,Norway,Norwich City,2021/2022,Goalkeeper
rjan Nyland,Norway,Aston Villa,2020/2021,Goalkeeper
rjan Nyland,Norway,Aston Villa,2019/2020,Goalkeeper
Christian Nrgaard,Denmark,Brentford,2021/2022,Midfielder
Kane O'Connor,Scotland,Brentford,2021/2022,Defender
Michael Obafemi,Ireland,Southampton,2021/2022,Forward
Michael Obafemi,Ireland,Southampton,2020/2021,Forward
Michael Obafemi,Ireland,Southampton,2019/2020,Forward
Michael Obafemi,Ireland,Southampton,2018/2019,Forward
Ademipo Odubeko,Ireland,West Ham United,2021/2022,Forward
Ademipo Odubeko,Ireland,West Ham United U21,2020/2021,Forward
Chituru Odunze,United States,Leicester City,2021/2022,Goalkeeper
Odeluga Offiah,England,Brighton & Hove Albion,2021/2022,Defender
Angelo Ogbonna,Italy,West Ham United,2021/2022,Defender
Angelo Ogbonna,Italy,West Ham United,2020/2021,Defender
Angelo Ogbonna,Italy,West Ham United,2019/2020,Defender
Angelo Ogbonna,Italy,West Ham United,2018/2019,Defender
Mazeed Ogungbo,Ireland,Arsenal,2021/2022,Defender
Sheyi Ojo,England,Liverpool,2021/2022,Midfielder
Sheyi Ojo,England,Liverpool,2020/2021,Midfielder
Sheyi Ojo,England,Liverpool,2019/2020,Midfielder
Sheyi Ojo,England,Liverpool,2018/2019,Midfielder
Jakub Ojrzynski,Poland,Liverpool,2021/2022,Goalkeeper
Jakub Ojrzynski,Poland,Liverpool,2020/2021,Goalkeeper
Armstrong Oko-Flex,Ireland,West Ham United,2021/2022,Forward
Arthur Okonkwo,England,Arsenal,2021/2022,Goalkeeper
Arthur Okonkwo,England,Arsenal,2020/2021,Goalkeeper
Maduka Okoye,Nigeria,Watford,2021/2022,Goalkeeper
Jaakko Oksanen,Finland,Brentford,2021/2022,Midfielder
Kazeem Olaigbe,Belgium,Southampton,2021/2022,Forward
Michael Olise,France,Crystal Palace,2021/2022,Midfielder
Robin Olsen,Sweden,Everton  (Loan) ,2021/2022,Goalkeeper
Robin Olsen,Sweden,Everton  (Loan) ,2020/2021,Goalkeeper
Josh Oluwayemi,England,Tottenham Hotspur,2021/2022,Goalkeeper
Andrew Omobamidele,Ireland,Norwich City,2021/2022,Defender
Tobi Omole,England,Tottenham Hotspur,2021/2022,Defender
Akos Onodi,Hungary,Aston Villa U21,2021/2022,Goalkeeper
Akos Onodi,Hungary,Aston Villa U21,2020/2021,Goalkeeper
Tyler Onyango,England,Everton,2021/2022,Midfielder
Tyler Onyango,England,Everton,2020/2021,Midfielder
Frank Onyeka,Nigeria,Brentford,2021/2022,Midfielder
Divock Origi,Belgium,Liverpool,2021/2022,Forward
Divock Origi,Belgium,Liverpool,2020/2021,Forward
Divock Origi,Belgium,Liverpool,2019/2020,Forward
Divock Origi,Belgium,Liverpool,2018/2019,Forward
Owen Otasowie,United States,Wolverhampton Wanderers,2021/2022,Midfielder
Owen Otasowie,United States,Wolverhampton Wanderers,2020/2021,Midfielder
Owen Otasowie,United States,Wolverhampton Wanderers,2019/2020,Midfielder
Salah-Eddine Oulad M'hand,Netherlands,Arsenal,2021/2022,Midfielder
Aston Oxborough,England,Norwich City,2021/2022,Goalkeeper
Aston Oxborough,England,Norwich City,2019/2020,Goalkeeper
Alex Oxlade-Chamberlain,England,Liverpool,2021/2022,Midfielder
Alex Oxlade-Chamberlain,England,Liverpool,2020/2021,Midfielder
Alex Oxlade-Chamberlain,England,Liverpool,2019/2020,Midfielder
Alex Oxlade-Chamberlain,England,Liverpool,2018/2019,Midfielder
Daniel Oyegoke,England,Brentford,2021/2022,Defender
Daniel Oyegoke,England,Arsenal,2020/2021,Defender
Pablo Hernndez,Spain,Leeds United,2021/2022,Midfielder
Pablo Hernndez,Spain,Leeds United,2020/2021,Midfielder
Cole Palmer,England,Manchester City,2021/2022,Midfielder
Cole Palmer,England,Manchester City,2020/2021,Midfielder
Cole Palmer,England,Manchester City,2019/2020,Midfielder
Erik Palmer-Brown,United States,Manchester City,2021/2022,Defender
Erik Palmer-Brown,United States,Manchester City,2020/2021,Defender
Erik Palmer-Brown,United States,Manchester City,2019/2020,Defender
Erik Palmer-Brown,United States,Manchester City,2018/2019,Defender
Pape Sarr,Senegal,Tottenham Hotspur,2021/2022,Midfielder
Adam Parkes,England,Watford,2021/2022,Goalkeeper
Adam Parkes,England,Watford,2019/2020,Goalkeeper
Troy Parrott,Ireland,Tottenham Hotspur,2021/2022,Forward
Troy Parrott,Ireland,Tottenham Hotspur,2020/2021,Forward
Troy Parrott,Ireland,Tottenham Hotspur,2019/2020,Forward
Thomas Partey,Ghana,Arsenal,2021/2022,Midfielder
Thomas Partey,Ghana,Arsenal,2020/2021,Midfielder
Maksim Paskotsi,Estonia,Tottenham Hotspur,2021/2022,Defender
Charlie Patino,England,Arsenal,2021/2022,Midfielder
Nathan Patterson,Scotland,Everton,2021/2022,Defender
Bailey Peacock-Farrell,Northern Ireland,Burnley,2021/2022,Goalkeeper
Bailey Peacock-Farrell,Northern Ireland,Burnley,2020/2021,Goalkeeper
Bailey Peacock-Farrell,Northern Ireland,Burnley,2019/2020,Goalkeeper
Myles Peart-Harris,England,Brentford,2021/2022,Midfielder
Myles Peart-Harris,England,Chelsea,2020/2021,Midfielder
Pedro Neto,Portugal,Wolverhampton Wanderers,2021/2022,Forward
Pedro Neto,Portugal,Wolverhampton Wanderers,2020/2021,Forward
Pedro Neto,Portugal,Wolverhampton Wanderers,2019/2020,Forward
Facundo Pellistri,Uruguay,Manchester United,2021/2022,Midfielder
Facundo Pellistri,Uruguay,Manchester United,2020/2021,Midfielder
Adalberto Pearanda,Venezuela,Watford,2021/2022,Forward
Adalberto Pearanda,Venezuela,Watford,2019/2020,Forward
Adalberto Pearanda,Venezuela,Watford,2018/2019,Forward
Nicolas Pp,Cote DIvoire,Arsenal,2021/2022,Forward
Nicolas Pp,Cote DIvoire,Arsenal,2020/2021,Forward
Nicolas Pp,Cote DIvoire,Arsenal,2019/2020,Forward
Ayoze Prez,Spain,Leicester City,2021/2022,Forward
Ayoze Prez,Spain,Leicester City,2020/2021,Forward
Ayoze Prez,Spain,Newcastle United,2019/2020,Forward
Ayoze Prez,Spain,Newcastle United,2018/2019,Forward
Stipe Perica,Croatia,Watford,2021/2022,Forward
Sonny Perkins,England,West Ham United,2021/2022,Midfielder
Romain Perraud,France,Southampton,2021/2022,Defender
Taylor Perry,England,Wolverhampton Wanderers,2021/2022,Midfielder
Taylor Perry,England,Wolverhampton Wanderers,2020/2021,Midfielder
Taylor Perry,England,Wolverhampton Wanderers U21,2019/2020,Midfielder
Philippe Coutinho,Brazil,Aston Villa  (Loan) ,2021/2022,Midfielder
Kalvin Phillips,England,Leeds United,2021/2022,Midfielder
Kalvin Phillips,England,Leeds United,2020/2021,Midfielder
Jaden Philogene-Bidace,England,Aston Villa,2021/2022,Midfielder
Jaden Philogene-Bidace,England,Aston Villa,2020/2021,Midfielder
Jordan Pickford,England,Everton,2021/2022,Goalkeeper
Jordan Pickford,England,Everton,2020/2021,Goalkeeper
Jordan Pickford,England,Everton,2019/2020,Goalkeeper
Jordan Pickford,England,Everton,2018/2019,Goalkeeper
Erik Pieters,Netherlands,Burnley,2021/2022,Defender
Erik Pieters,Netherlands,Burnley,2020/2021,Defender
Erik Pieters,Netherlands,Burnley,2019/2020,Defender
Ethan Pinnock,Jamaica,Brentford,2021/2022,Defender
Przemyslaw Placheta,Poland,Norwich City,2021/2022,Midfielder
Luke Plange,England,Crystal Palace,2021/2022,Forward
Maurizio Pochettino,Spain,Watford,2021/2022,Midfielder
Paul Pogba,France,Manchester United,2021/2022,Midfielder
Paul Pogba,France,Manchester United,2020/2021,Midfielder
Paul Pogba,France,Manchester United,2019/2020,Midfielder
Paul Pogba,France,Manchester United,2018/2019,Midfielder
Matthew Pollock,England,Watford,2021/2022,Defender
Nick Pope,England,Burnley,2021/2022,Goalkeeper
Nick Pope,England,Burnley,2020/2021,Goalkeeper
Nick Pope,England,Burnley,2019/2020,Goalkeeper
Nick Pope,England,Burnley,2018/2019,Goalkeeper
Freddie Potts,England,West Ham United U21,2021/2022,Midfielder
Ian Poveda-Ocampo,England,Leeds United,2021/2022,Forward
Ian Poveda-Ocampo,England,Leeds United,2020/2021,Forward
Ian Poveda-Ocampo,England,Manchester City,2019/2020,Forward
Ian Poveda-Ocampo,England,Manchester City,2018/2019,Forward
Iker Pozo,Spain,Manchester City,2021/2022,Midfielder
Iker Pozo,Spain,Manchester City U21,2019/2020,Midfielder
Iker Pozo,Spain,Manchester City,2018/2019,Midfielder
Dennis Praet,Belgium,Leicester City,2021/2022,Midfielder
Dennis Praet,Belgium,Leicester City,2020/2021,Midfielder
Dennis Praet,Belgium,Leicester City,2019/2020,Midfielder
Aaron Pressley,Scotland,Brentford,2021/2022,Forward
Isaac Price,Northern Ireland,Everton,2021/2022,Forward
Isaac Price,Northern Ireland,Everton,2020/2021,Forward
Davy Prpper,Netherlands,Brighton and Hove Albion,2021/2022,Midfielder
Davy Prpper,Netherlands,Brighton and Hove Albion,2020/2021,Midfielder
Davy Prpper,Netherlands,Brighton and Hove Albion,2019/2020,Midfielder
Davy Prpper,Netherlands,Brighton and Hove Albion,2018/2019,Midfielder
Teemu Pukki,Finland,Norwich City,2021/2022,Forward
Teemu Pukki,Finland,Norwich City,2019/2020,Forward
Christian Pulisic,United States,Chelsea,2021/2022,Midfielder
Christian Pulisic,United States,Chelsea,2020/2021,Midfielder
Christian Pulisic,United States,Chelsea,2019/2020,Midfielder
Christian Pulisic,United States,Chelsea,2018/2019,Midfielder
Ignacio Pussetto,Argentina,Watford,2021/2022,Forward
Ignacio Pussetto,Argentina,Watford,2019/2020,Forward
Jarell Quansah,England,Liverpool,2021/2022,Defender
Xavi Quintill,Spain,Norwich City  (Loan) ,2021/2022,Defender
Luka Racic,Denmark,Brentford,2021/2022,Defender
Rafa Mir,Spain,Wolverhampton Wanderers,2021/2022,Forward
Rafa Mir,Spain,Wolverhampton Wanderers,2019/2020,Forward
Rafa Mir,Spain,Wolverhampton Wanderers,2018/2019,Forward
Arjan Raikhy,England,Aston Villa,2021/2022,Midfielder
Arjan Raikhy,England,Aston Villa,2020/2021,Midfielder
Jesurun Rak-Sakyi,England,Crystal Palace,2021/2022,Midfielder
Jesurun Rak-Sakyi,England,Crystal Palace,2020/2021,Midfielder
Kayne Ramsay,England,Southampton,2021/2022,Defender
Kayne Ramsay,England,Southampton,2020/2021,Defender
Kayne Ramsay,England,Southampton,2019/2020,Defender
Kayne Ramsay,England,Southampton,2018/2019,Defender
Aaron Ramsdale,England,Arsenal,2021/2022,Goalkeeper
Aaron Ramsdale,England,Sheffield United,2020/2021,Goalkeeper
Aaron Ramsdale,England,AFC Bournemouth,2019/2020,Goalkeeper
Aaron Ramsdale,England,AFC Bournemouth,2018/2019,Goalkeeper
