Amad Diallo,Cote DIvoire,Forward,173cm,11/07/2002
Luis Daz,Colombia,Forward,178cm,13/01/1997(25)
Thomas Dickson-Peters,Scotland,Forward,,16/09/2002
Eric Dier,England,Defender,188cm,15/01/1994(28)
Lucas Digne,France,Defender,178cm,20/07/1993(28)
Diogo Dalot,Portugal,Defender,183cm,18/03/1999(23)
Diogo Jota,Portugal,Forward,178cm,04/12/1996(25)
Issa Diop,France,Defender,194cm,09/01/1997(25)
Elijah Dixon-Bonner,England,Midfielder,,01/01/2001(21)
Moussa Djenepo,Mali,Midfielder,177cm,15/06/1998(23)
Lewis Dobbin,England,Forward,,03/01/2003(19)
Owen Dodgson,England,Defender,,19/03/2003(19)
Matt Doherty,Ireland,Defender,182cm,16/01/1992(30)
Domingos Quina,Portugal,Midfielder,179cm,18/11/1999
Abdoulaye Doucour,Mali,Midfielder,184cm,01/01/1993(29)
Douglas Luiz,Brazil,Midfielder,175cm,09/05/1998(23)
Kieran Dowell,England,Midfielder,175cm,10/10/1997(24)
Tommy Doyle,England,Midfielder,,17/10/2001
Cody Drameh,England,Defender,,08/12/2001
Danny Drinkwater,England,Midfielder,178cm,05/03/1990
Anthony Driscoll-Glennon,England,Defender,181cm,26/11/1999
Martin Dbravka,Slovakia,Goalkeeper,190cm,15/01/1989(33)
Shane Duffy,Ireland,Defender,193cm,01/01/1992(30)
Paul Dummett,Wales,Defender,183cm,26/09/1991(30)
Lewis Dunk,England,Defender,192cm,21/11/1991(30)
Jimmy Dunne,Ireland,Defender,183cm,19/10/1997
Frankie Ealing,England,Defender,,14/07/2004
Ederson,Brazil,Goalkeeper,188cm,17/08/1993(28)
Odsonne douard,France,Forward,187cm,16/01/1998(24)
Samuel Edozie,England,Forward,,28/01/2003(19)
Edward Rowe,England,Midfielder,,17/10/2003
Pierre Ekwah,France,Defender,,15/01/2002(20)
Anwar El Ghazi,Netherlands,Midfielder,188cm,03/05/1995(26)
Anthony Elanga,Sweden,Forward,178cm,27/04/2002(19)
Robert Elliot,Ireland,Goalkeeper,190cm,30/04/1986(35)
Harvey Elliott,England,Midfielder,170cm,04/04/2003(19)
Mohamed Elyounoussi,Norway,Midfielder,178cm,04/08/1994(27)
Emerson,Italy,Defender,176cm,03/08/1994
Emerson Royal,Brazil,Defender,181cm,14/01/1999(23)
Emiliano Marcondes,Denmark,Midfielder,182cm,09/03/1995
Bjrn Engels,Belgium,Defender,193cm,15/09/1994
Christian Eriksen,Denmark,Midfielder,182cm,14/02/1992(30)
Peter Etebo,Nigeria,Midfielder,172cm,09/11/1995(26)
Jonny Evans,Northern Ireland,Defender,188cm,03/01/1988(34)
Oliver Ewing,Wales,Midfielder,,03/01/2003(19)
Timothy Eyoma,England,Defender,183cm,29/01/2000
Eberechi Eze,England,Midfielder,,29/06/1998(23)
Lukasz Fabianski,Poland,Goalkeeper,190cm,18/04/1985(36)
Fabinho,Brazil,Midfielder,188cm,23/10/1993(28)
Fbio Silva,Portugal,Forward,185cm,19/07/2002(19)
Malachi Fagan-Walcott,England,Defender,,11/03/2002(20)
Akin Famewo,England,Defender,187cm,09/11/1998
Juan Familia-Castillo,Netherlands,Defender,,13/01/2000
Josh Feeney,England,Midfielder,,06/05/2005(16)
Felipe Anderson,Brazil,Midfielder,175cm,15/04/1993
Felix Nmecha,Germany,Midfielder,188cm,10/10/2000
